,xk,wk,uk,xkp1,wkp1,fL_k,fU_k,gL_k,gU_k,fBL_k,fBU_k
3155,[-2.24545516],[4.82995265],[1.05784395],[-2.14885611],[4.25341062],[4.15460648],[6.81547039],[0.01632653],[0.048],[2.66660648],[5.64260648]
3156,[2.75795041],[4.25697316],[27.23972166],[2.84308988],[4.17361069],[3.56653966],[6.28684765],[0.01632653],[0.048],[2.07853966],[5.05453966]
3157,[2.88919951],[1.97856889],[-26.9066697],[2.92877089],[1.24482268],[1.79915132],[2.50605656],[0.01632653],[0.048],[0.31115132],[3.28715132]
3158,[3.31055398],[1.04927759],[25.80614974],[3.33153953],[1.58027628],[1.03732916],[1.08440597],[0.01632653],[0.048],[-0.45067084],[2.52532916]
3159,[-2.61887399],[2.00584079],[19.15746237],[-2.57875717],[2.36777235],[1.94888569],[2.17328879],[0.01632653],[0.048],[0.46088569],[3.43688569]
3160,[2.41388234],[-4.44199544],[15.30428244],[2.32504243],[-3.61768538],[-5.23695728],[-2.10480765],[0.01632653],[0.048],[-6.72495728],[-3.74895728]
3161,[-3.58577377],[3.01519151],[-27.89006643],[-3.52546994],[2.06236183],[2.62689205],[4.15679191],[0.01632653],[0.048],[1.13889205],[4.11489205]
3162,[2.61886521],[-1.81901388],[19.91578358],[2.58248493],[-1.39080841],[-2.01958052],[-1.22934796],[0.01632653],[0.048],[-3.50758052],[-0.53158052]
3163,[4.50437998],[-3.29557913],[20.18450144],[4.4384684],[-2.34536182],[-3.50761434],[-2.67219562],[0.01632653],[0.048],[-4.99561434],[-2.01961434]
3164,[3.84297632],[1.42497611],[23.65403479],[3.87147584],[1.97162815],[1.46136637],[1.31798877],[0.01632653],[0.048],[-0.02663363],[2.94936637]
3165,[0.07378659],[1.47393794],[28.80280607],[0.10326534],[1.99248093],[1.38427168],[1.73755673],[0.01632653],[0.048],[-0.10372832],[2.87227168]
3166,[-3.07961768],[-0.8104401],[18.46362908],[-3.09582648],[-0.39136238],[-0.8249686],[-0.76772633],[0.01632653],[0.048],[-2.3129686],[0.6630314]
3167,[3.25753142],[-2.25939746],[11.83304004],[3.21234348],[-1.82641382],[-2.41828941],[-1.79225513],[0.01632653],[0.048],[-3.90628941],[-0.93028941]
3168,[-4.46190083],[-3.58413927],[18.83510433],[-4.53358362],[-2.96400447],[-4.1927843],[-1.79472288],[0.01632653],[0.048],[-5.6807843],[-2.7047843]
3169,[-1.72710835],[3.91029227],[2.37319252],[-1.6489025],[3.65727034],[3.54705375],[4.9782135],[0.01632653],[0.048],[2.05905375],[5.03505375]
3170,[-4.50897275],[0.08476783],[11.44875482],[-4.5072774],[0.13847184],[-0.08283095],[0.57750825],[0.01632653],[0.048],[-1.57083095],[1.40516905]
3171,[2.39682035],[-0.65422202],[-17.29688438],[2.38373591],[-1.12586765],[-0.78551535],[-0.26821962],[0.01632653],[0.048],[-2.27351535],[0.70248465]
3172,[0.16633274],[3.55793366],[-10.44580405],[0.23749141],[2.9083985],[3.09109897],[4.93042766],[0.01632653],[0.048],[1.60309897],[4.57909897]
3173,[-3.63685042],[4.92809285],[16.64381991],[-3.53828856],[4.40896706],[4.0080317],[7.63307262],[0.01632653],[0.048],[2.5200317],[5.4960317]
3174,[-1.08754327],[-4.80444516],[-28.12218733],[-1.18363218],[-4.48872137],[-5.45369389],[-2.89565388],[0.01632653],[0.048],[-6.94169389],[-3.96569389]
3175,[-0.6811983],[4.91394919],[-27.48166905],[-0.58291932],[3.69253579],[4.18489472],[7.05736932],[0.01632653],[0.048],[2.69689472],[5.67289472]
3176,[-0.43271691],[-3.59048276],[4.38790794],[-0.50452657],[-3.01175922],[-3.96677777],[-2.48417543],[0.01632653],[0.048],[-5.45477777],[-2.47877777]
3177,[1.80849807],[-2.37341783],[-11.14715943],[1.76102971],[-2.60758298],[-2.73379893],[-1.31389742],[0.01632653],[0.048],[-4.22179893],[-1.24579893]
3178,[0.48890712],[-1.27898407],[29.01646518],[0.46332744],[-0.71339695],[-1.41686085],[-0.87362633],[0.01632653],[0.048],[-2.90486085],[0.07113915]
3179,[1.28616388],[1.67589261],[-11.00543777],[1.31968173],[1.17797875],[1.41497428],[2.44299251],[0.01632653],[0.048],[-0.07302572],[2.90297428]
3180,[-4.27227454],[-0.14577117],[-10.31229359],[-4.27518996],[-0.52838337],[-0.3012705],[0.31139687],[0.01632653],[0.048],[-1.7892705],[1.1867295]
3181,[4.12005679],[4.90250987],[16.47640901],[4.21810698],[4.63354178],[4.21101736],[6.93549784],[0.01632653],[0.048],[2.72301736],[5.69901736]
3182,[-0.60330405],[4.92168779],[17.83726436],[-0.5048703],[4.62911556],[4.17949983],[7.10372041],[0.01632653],[0.048],[2.69149983],[5.66749983]
3183,[2.65069376],[-3.70712874],[18.59629539],[2.57655119],[-2.96853432],[-4.26288953],[-2.07319204],[0.01632653],[0.048],[-5.75088953],[-2.77488953]
3184,[3.60351072],[-0.22000993],[-16.5179972],[3.59911052],[-0.47635659],[-0.14888944],[-0.42910419],[0.01632653],[0.048],[-1.63688944],[1.33911056]
3185,[1.60090082],[-4.40764782],[16.43012234],[1.51274787],[-3.63406166],[-5.24847418],[-1.93561832],[0.01632653],[0.048],[-6.73647418],[-3.76047418]
3186,[3.15987415],[-3.69237293],[14.82420412],[3.08602669],[-2.94356618],[-4.16184642],[-2.31212087],[0.01632653],[0.048],[-5.64984642],[-2.67384642]
3187,[-3.06929342],[-1.05067564],[15.47541515],[-3.09030693],[-0.67758475],[-1.0788896],[-0.96772658],[0.01632653],[0.048],[-2.5668896],[0.4091104]
3188,[4.81152745],[-0.58074705],[-25.81083474],[4.79991251],[-0.92050373],[-0.42700408],[-1.03275138],[0.01632653],[0.048],[-1.91500408],[1.06099592]
3189,[2.00619928],[0.10782981],[-23.87570378],[2.00835587],[-0.56041737],[-0.04767422],[0.56501164],[0.01632653],[0.048],[-1.53567422],[1.44032578]
3190,[-1.37872308],[-4.66910196],[19.68333456],[-1.47210512],[-3.38096624],[-5.25792845],[-2.93795208],[0.01632653],[0.048],[-6.74592845],[-3.76992845]
3191,[-0.22321503],[4.65070287],[-16.15895029],[-0.13020097],[3.66896274],[3.93967876],[6.74111374],[0.01632653],[0.048],[2.45167876],[5.42767876]
3192,[-0.13059332],[-1.74079644],[22.87497868],[-0.16540925],[-1.14622613],[-1.82568502],[-1.49122402],[0.01632653],[0.048],[-3.31368502],[-0.33768502]
3193,[2.97182362],[4.05989195],[-28.09352344],[3.05302146],[2.91596408],[3.46059696],[5.82181921],[0.01632653],[0.048],[1.97259696],[4.94859696]
3194,[0.01371705],[1.39418385],[-18.69462383],[0.04160073],[0.94310319],[1.32251869],[1.60487944],[0.01632653],[0.048],[-0.16548131],[2.81051869]
3195,[0.96727356],[-4.13558605],[-9.36560391],[0.88456184],[-3.94112918],[-4.86655127],[-1.98654829],[0.01632653],[0.048],[-6.35455127],[-3.37855127]
3196,[2.55210585],[3.99911672],[-5.7600865],[2.63208818],[3.2632011],[3.3515036],[5.9030993],[0.01632653],[0.048],[1.8635036],[4.8395036]
3197,[-2.29742669],[1.02917285],[-22.63900399],[-2.27684323],[0.66306816],[1.11627908],[0.77308055],[0.01632653],[0.048],[-0.37172092],[2.60427908]
3198,[3.83804611],[-0.82947257],[25.74467915],[3.82145666],[-0.14971873],[-0.74741248],[-1.07072924],[0.01632653],[0.048],[-2.23541248],[0.74058752]
3199,[-1.11217125],[4.50377405],[-16.99211401],[-1.02209577],[3.67301553],[3.95293989],[6.12322649],[0.01632653],[0.048],[2.46493989],[5.44093989]
3200,[1.69675401],[-1.10596921],[-7.24442585],[1.67463463],[-1.40355705],[-1.31764836],[-0.48363253],[0.01632653],[0.048],[-2.80564836],[0.17035164]
3201,[-4.48670553],[-2.39658102],[-12.20822107],[-4.53463715],[-2.64984546],[-2.76123806],[-1.32448932],[0.01632653],[0.048],[-4.24923806],[-1.27323806]
3202,[1.99424671],[-2.79543293],[-17.73174028],[1.93833805],[-3.08534355],[-3.22090589],[-1.54454242],[0.01632653],[0.048],[-4.70890589],[-1.73290589]
3203,[1.26793856],[-3.10398972],[8.76679735],[1.20585877],[-2.79430667],[-3.59946201],[-1.64730118],[0.01632653],[0.048],[-5.08746201],[-2.11146201]
3204,[0.51432838],[-0.43067809],[-26.31276434],[0.50571482],[-1.06659309],[-0.52228738],[-0.16134678],[0.01632653],[0.048],[-2.01028738],[0.96571262]
3205,[4.44818453],[-3.75699836],[-14.8259163],[4.37304457],[-3.43377861],[-4.08349025],[-2.79711218],[0.01632653],[0.048],[-5.57149025],[-2.59549025]
3206,[3.63534965],[-2.96952415],[-29.26138922],[3.57595917],[-3.20619381],[-3.19611793],[-2.30333845],[0.01632653],[0.048],[-4.68411793],[-1.70811793]
3207,[-2.20489188],[2.1166004],[-16.85870881],[-2.16255988],[1.77280759],[2.09552428],[2.17856421],[0.01632653],[0.048],[0.60752428],[3.58352428]
3208,[0.64723741],[-3.17843883],[-14.66684224],[0.58366863],[-3.27661901],[-3.63081018],[-1.84846705],[0.01632653],[0.048],[-5.11881018],[-2.14281018]
3209,[4.46083037],[4.05462291],[3.14352128],[4.54192283],[3.77714372],[3.64848431],[5.24867037],[0.01632653],[0.048],[2.16048431],[5.13648431]
3210,[-0.70129198],[0.34017025],[22.17405906],[-0.69448858],[0.9207061],[0.44259431],[0.03904353],[0.01632653],[0.048],[-1.04540569],[1.93059431]
3211,[0.58122872],[-1.08642614],[28.37728102],[0.55950019],[-0.56344004],[-1.22197116],[-0.68792377],[0.01632653],[0.048],[-2.70997116],[0.26602884]
3212,[-0.97624115],[-3.56657193],[-0.66304615],[-1.04757259],[-3.02079962],[-3.86803211],[-2.68027899],[0.01632653],[0.048],[-5.35603211],[-2.38003211]
3213,[-3.36350888],[1.97745012],[-9.69760082],[-3.32395988],[1.6074197],[1.80317705],[2.48981293],[0.01632653],[0.048],[0.31517705],[3.29117705]
3214,[-2.04630466],[-4.21756026],[3.16415183],[-2.13065586],[-3.41682509],[-4.68357912],[-2.84746483],[0.01632653],[0.048],[-6.17157912],[-3.19557912]
3215,[0.57588308],[-0.15784403],[5.3903594],[0.5727262],[-0.14909467],[-0.2527832],[0.12127715],[0.01632653],[0.048],[-1.7407832],[1.2352168]
3216,[3.35565239],[2.86552913],[-17.69651583],[3.41296297],[2.27314654],[2.61579736],[3.59974053],[0.01632653],[0.048],[1.12779736],[4.10379736]
3217,[0.76633155],[-2.74222551],[-14.31536877],[0.71148704],[-2.93221497],[-3.12076937],[-1.62930655],[0.01632653],[0.048],[-4.60876937],[-1.63276937]
3218,[-3.00877603],[3.39730103],[0.07120996],[-2.94083001],[3.05337313],[3.01921759],[4.50886635],[0.01632653],[0.048],[1.53121759],[4.50721759]
3219,[-2.88326942],[-4.59021886],[-16.1434341],[-2.9750738],[-4.20422779],[-5.27621945],[-2.57337711],[0.01632653],[0.048],[-6.76421945],[-3.78821945]
3220,[0.67737743],[-2.76966941],[-17.02291395],[0.62198405],[-2.99878364],[-3.14218318],[-1.67447892],[0.01632653],[0.048],[-4.63018318],[-1.65418318]
3221,[-4.14653109],[2.3292839],[-14.57177502],[-4.09994541],[1.69350326],[1.99758962],[3.30446508],[0.01632653],[0.048],[0.50958962],[3.48558962]
3222,[-3.18681141],[-0.98101508],[12.73403246],[-3.20643171],[-0.69150262],[-1.02413777],[-0.85423438],[0.01632653],[0.048],[-2.51213777],[0.46386223]
3223,[-3.73380249],[-1.07325257],[6.33890048],[-3.75526754],[-1.00741489],[-1.20935728],[-0.6731047],[0.01632653],[0.048],[-2.69735728],[0.27864272]
3224,[1.33012253],[-0.50634495],[-19.11856417],[1.31999563],[-1.07873767],[-0.6811564],[0.00760069],[0.01632653],[0.048],[-2.1691564],[0.8068436]
3225,[1.06277407],[-3.22056203],[-14.06790177],[0.99836283],[-3.34774486],[-3.7278512],[-1.7291319],[0.01632653],[0.048],[-5.2158512],[-2.2398512]
3226,[-2.77529125],[-3.22240158],[-1.92858364],[-2.83973928],[-2.86210177],[-3.52251135],[-2.34007887],[0.01632653],[0.048],[-5.01051135],[-2.03451135]
3227,[2.81435159],[-2.03977564],[21.21002017],[2.77355607],[-1.52393244],[-2.23976049],[-1.45182019],[0.01632653],[0.048],[-3.72776049],[-0.75176049]
3228,[3.79119845],[3.95357668],[14.58945801],[3.87026998],[3.87047685],[3.51406776],[5.24573293],[0.01632653],[0.048],[2.02606776],[5.00206776]
3229,[2.34856549],[-0.5542465],[5.98870366],[2.33748056],[-0.5518753],[-0.68721612],[-0.16331582],[0.01632653],[0.048],[-2.17521612],[0.80078388]
3230,[-3.65539962],[4.18824336],[-2.35395921],[-3.57163475],[3.48583196],[3.49808084],[6.21732119],[0.01632653],[0.048],[2.01008084],[4.98608084]
3231,[4.00437895],[-3.22581527],[26.41263162],[3.93986265],[-2.20051689],[-3.45902699],[-2.54017281],[0.01632653],[0.048],[-4.94702699],[-1.97102699]
3232,[0.9877048],[2.83483271],[-17.35603281],[1.04440146],[2.0622645],[2.41466927],[4.07011323],[0.01632653],[0.048],[0.92666927],[3.90266927]
3233,[0.95475207],[2.03612011],[21.60549986],[0.99547448],[2.2017066],[1.75327861],[2.8676741],[0.01632653],[0.048],[0.26527861],[3.24127861]
3234,[1.02577005],[-2.96649402],[24.79371187],[0.96644017],[-2.33185654],[-3.4164315],[-1.64367781],[0.01632653],[0.048],[-4.9044315],[-1.9284315]
3235,[-1.21704883],[-2.16363982],[-20.36546695],[-1.26032163],[-2.26292803],[-2.16933681],[-2.14689065],[0.01632653],[0.048],[-3.65733681],[-0.68133681]
3236,[-2.73775609],[1.07218857],[9.78787394],[-2.71631232],[1.31071771],[1.09644412],[1.00087724],[0.01632653],[0.048],[-0.39155588],[2.58444412]
3237,[4.1646673],[3.11558837],[6.35147699],[4.22697906],[3.097273],[2.92233565],[3.68375138],[0.01632653],[0.048],[1.43433565],[4.41033565]
3238,[-0.48187464],[-1.42866529],[6.3898453],[-0.51044795],[-1.14582223],[-1.42327981],[-1.44449861],[0.01632653],[0.048],[-2.91127981],[0.06472019]
3239,[-0.63429588],[-4.22460119],[-17.50821248],[-0.7187879],[-3.91070475],[-4.74262624],[-2.70160755],[0.01632653],[0.048],[-6.23062624],[-3.25462624]
3240,[-4.2078621],[-3.65971837],[23.85622727],[-4.28105647],[-2.89958185],[-4.27150966],[-1.86105198],[0.01632653],[0.048],[-5.75950966],[-2.78350966]
3241,[-4.95196984],[-4.67697195],[-3.64993762],[-5.04550928],[-4.23852595],[-5.59745191],[-1.97076087],[0.01632653],[0.048],[-7.08545191],[-4.10945191]
3242,[-4.58907472],[-1.82036389],[-8.04727329],[-4.62548199],[-2.06808655],[-2.1042047],[-0.9858719],[0.01632653],[0.048],[-3.5922047],[-0.6162047]
3243,[-4.84738483],[-4.0202245],[3.4693782],[-4.92778932],[-3.61913354],[-4.74697421],[-1.88358033],[0.01632653],[0.048],[-6.23497421],[-3.25897421]
3244,[-3.67054416],[-1.43201611],[-4.91091573],[-3.69918448],[-1.56144889],[-1.5900948],[-0.96726475],[0.01632653],[0.048],[-3.0780948],[-0.1020948]
3245,[3.75597981],[-3.5420059],[19.46748787],[3.68513969],[-2.62696837],[-3.87989834],[-2.54860215],[0.01632653],[0.048],[-5.36789834],[-2.39189834]
3246,[1.08182735],[1.95330234],[15.97889484],[1.1208934],[1.99959479],[1.67062565],[2.7843718],[0.01632653],[0.048],[0.18262565],[3.15862565]
3247,[-4.45932399],[3.85843812],[-16.33094747],[-4.38215523],[2.86186979],[3.17948734],[5.85455339],[0.01632653],[0.048],[1.69148734],[4.66748734]
3248,[-4.9938479],[2.83716417],[-9.53790574],[-4.93710462],[2.20255594],[2.39533089],[4.13615402],[0.01632653],[0.048],[0.90733089],[3.88333089]
3249,[-4.55214546],[-3.30635832],[16.90479566],[-4.61827263],[-2.79105673],[-3.85208522],[-1.70192126],[0.01632653],[0.048],[-5.34008522],[-2.36408522]
3250,[-0.24304647],[-0.95918505],[-24.93447335],[-0.26223017],[-1.40578051],[-0.9526747],[-0.97832549],[0.01632653],[0.048],[-2.4406747],[0.5353253]
3251,[3.20269993],[1.29086297],[14.00514892],[3.22851719],[1.53819832],[1.24136895],[1.43637538],[0.01632653],[0.048],[-0.24663105],[2.72936895]
3252,[-4.78826998],[-2.57359451],[-9.65175509],[-4.83974187],[-2.75056324],[-2.97238507],[-1.40115025],[0.01632653],[0.048],[-4.46038507],[-1.48438507]
3253,[-0.5727702],[-1.26976021],[10.88863787],[-0.59816541],[-0.89214462],[-1.23635311],[-1.36797709],[0.01632653],[0.048],[-2.72435311],[0.25164689]
3254,[4.13661612],[-2.61538719],[-9.96059329],[4.08430838],[-2.44589286],[-2.71228322],[-2.33051286],[0.01632653],[0.048],[-4.20028322],[-1.22428322]
3255,[1.56104562],[-0.82245336],[-14.34333498],[1.54459655],[-1.2869619],[-1.01660171],[-0.25165721],[0.01632653],[0.048],[-2.50460171],[0.47139829]
3256,[-0.19748174],[4.18609137],[-26.37965706],[-0.11375991],[3.11786897],[3.61243718],[5.8726347],[0.01632653],[0.048],[2.12443718],[5.10043718]
3257,[3.1891822],[-0.60169846],[-29.71977768],[3.17714823],[-1.19716194],[-0.60848033],[-0.58175975],[0.01632653],[0.048],[-2.09648033],[0.87951967]
3258,[-2.71235492],[-4.68363342],[-26.29971641],[-2.80602759],[-4.45130925],[-5.3724311],[-2.65856824],[0.01632653],[0.048],[-6.8604311],[-3.8844311]
3259,[-4.55498489],[-4.60191133],[-13.16462623],[-4.64702312],[-4.38571577],[-5.50109867],[-1.95830053],[0.01632653],[0.048],[-6.98909867],[-4.01309867]
3260,[4.48250703],[-2.44195921],[15.47943552],[4.43366784],[-1.74658379],[-2.4858671],[-2.31287],[0.01632653],[0.048],[-3.9738671],[-0.9978671]
3261,[-2.06723314],[2.47252224],[23.8885448],[-2.0177827],[2.9385121],[2.40752458],[2.66361535],[0.01632653],[0.048],[0.91952458],[3.89552458]
3262,[4.0765179],[-1.73609681],[-29.90121214],[4.04179597],[-2.10972833],[-1.70678718],[-1.82226713],[0.01632653],[0.048],[-3.19478718],[-0.21878718]
3263,[-4.75196655],[-0.55212336],[-10.42106015],[-4.76300902],[-0.9468069],[-0.73333111],[-0.01937257],[0.01632653],[0.048],[-2.22133111],[0.75466889]
3264,[2.23408739],[4.77477154],[-7.87735741],[2.32958282],[3.73485658],[3.85332538],[7.48382324],[0.01632653],[0.048],[2.36532538],[5.34132538]
3265,[-2.12164125],[-0.60110739],[18.1149677],[-2.1336634],[-0.05157082],[-0.47229315],[-0.97982127],[0.01632653],[0.048],[-1.96029315],[1.01570685]
3266,[-2.68758037],[1.11886796],[6.157755],[-2.66520301],[1.28722392],[1.14728441],[1.0353236],[0.01632653],[0.048],[-0.34071559],[2.63528441]
3267,[3.16852377],[1.12136773],[-0.32649318],[3.19095112],[1.07715682],[1.08022262],[1.24233435],[0.01632653],[0.048],[-0.40777738],[2.56822262]
3268,[2.39813596],[3.86957273],[-11.18373341],[2.47552741],[3.03085081],[3.23674443],[5.73008792],[0.01632653],[0.048],[1.74874443],[4.72474443]
3269,[3.20116581],[3.57013856],[-21.49584514],[3.27256859],[2.72543104],[3.13823656],[4.83993041],[0.01632653],[0.048],[1.65023656],[4.62623656]
3270,[4.3235144],[1.27265081],[21.349971],[4.34896742],[1.8379363],[1.37040845],[0.98524335],[0.01632653],[0.048],[-0.11759155],[2.85840845]
3271,[-2.84922667],[-4.04719325],[-18.55403545],[-2.93017053],[-3.85473368],[-4.56589713],[-2.52220385],[0.01632653],[0.048],[-6.05389713],[-3.07789713]
3272,[0.86774894],[-0.72809573],[-3.91719819],[0.85318702],[-0.93738905],[-0.8772469],[-0.28959126],[0.01632653],[0.048],[-2.3652469],[0.6107531]
3273,[-3.1260865],[-3.67849326],[21.62960469],[-3.19965637],[-2.79188223],[-4.14490571],[-2.30724064],[0.01632653],[0.048],[-5.63290571],[-2.65690571]
3274,[-2.82386542],[1.90400003],[-27.31358061],[-2.78578542],[1.27654035],[1.82929536],[2.12363174],[0.01632653],[0.048],[0.34129536],[3.31729536]
3275,[-2.08858935],[4.63228859],[24.07208405],[-1.99594357],[4.61099444],[4.03628147],[6.38454955],[0.01632653],[0.048],[2.54828147],[5.52428147]
3276,[-1.15741139],[-3.19680769],[-1.9915643],[-1.22134754],[-2.74161679],[-3.39728693],[-2.60739872],[0.01632653],[0.048],[-4.88528693],[-1.90928693]
3277,[-0.63712585],[0.89491486],[21.57672583],[-0.61922755],[1.4318373],[0.96522764],[0.68819532],[0.01632653],[0.048],[-0.52277236],[2.45322764]
3278,[-4.88506141],[-4.77354492],[-10.40279437],[-4.98053231],[-4.4489131],[-5.72781121],[-1.96800202],[0.01632653],[0.048],[-7.21581121],[-4.23981121]
3279,[-2.05495241],[-4.85287933],[4.27977002],[-2.15201],[-3.84598152],[-5.51833201],[-2.89644845],[0.01632653],[0.048],[-7.00633201],[-4.03033201]
3280,[1.71565353],[4.16285773],[-18.33559839],[1.79891068],[3.04299159],[3.39608209],[6.41717809],[0.01632653],[0.048],[1.90808209],[4.88408209]
3281,[2.42182633],[4.86022763],[23.91239888],[2.51903088],[4.47928674],[3.93208038],[7.58898053],[0.01632653],[0.048],[2.44408038],[5.42008038]
3282,[-2.45456535],[-2.59408581],[9.39260726],[-2.50644707],[-2.06331892],[-2.72162059],[-2.21913353],[0.01632653],[0.048],[-4.20962059],[-1.23362059]
3283,[0.501897],[4.16572004],[-1.62561086],[0.5852114],[3.49058945],[3.48380108],[6.1705618],[0.01632653],[0.048],[1.99580108],[4.97180108]
3284,[-0.83392485],[0.26160057],[19.07338845],[-0.82869283],[0.79680968],[0.38172648],[-0.09156959],[0.01632653],[0.048],[-1.10627352],[1.86972648]
3285,[-0.46956337],[-2.23551157],[-16.86869745],[-0.51427361],[-2.34439192],[-2.33394174],[-1.94612684],[0.01632653],[0.048],[-3.82194174],[-0.84594174]
3286,[4.14865573],[-3.20553615],[1.56577392],[4.08454501],[-2.68554522],[-3.41982314],[-2.57553239],[0.01632653],[0.048],[-4.90782314],[-1.93182314]
3287,[2.63180924],[0.39357583],[-1.62666787],[2.63968075],[0.2611415],[0.30368901],[0.65784311],[0.01632653],[0.048],[-1.18431099],[1.79168901]
3288,[-1.95790015],[-1.11641768],[-0.23277548],[-1.98022851],[-0.90687079],[-1.00567317],[-1.44200655],[0.01632653],[0.048],[-2.49367317],[0.48232683]
3289,[0.15314899],[-0.32104249],[12.33647298],[0.14672814],[-0.09208541],[-0.35261554],[-0.22821772],[0.01632653],[0.048],[-1.84061554],[1.13538446]
3290,[2.20922444],[2.4307902],[25.34859925],[2.25784025],[2.61771695],[2.08935562],[3.43460788],[0.01632653],[0.048],[0.60135562],[3.57735562]
3291,[-2.40378073],[-3.71050802],[-25.74492397],[-2.4779909],[-3.67928886],[-4.07433799],[-2.64084792],[0.01632653],[0.048],[-5.56233799],[-2.58633799]
3292,[2.79512008],[-2.3821068],[-10.79341532],[2.74747795],[-2.48726299],[-2.63736159],[-1.63165774],[0.01632653],[0.048],[-4.12536159],[-1.14936159]
3293,[1.54461866],[2.73536334],[2.30139979],[1.59932593],[2.35723256],[2.30652353],[3.99615236],[0.01632653],[0.048],[0.81852353],[3.79452353]
